8	24.3
14	26.9
13.7	23.4
13.3	15.5
7.6	16.1
6.2	16.9
6.1	18.2
8.3	17
8.8	19.5
8.4	22.8
9.1	25.2
8.5	27.3
10.1	27.9
12.1	30.9
10.1	31.2
12.4	32.1
13.8	31.2
11.7	30
12.4	32.3
15.6	33.4
15.3	33.4
16.4	19.4
12.8	18.5
12	24.3
15.4	28.4
15.6	26.9
13.3	22.2
12.9	28
15.1	24.3
13.6	24.1
15.1	20.4
11.6	26.3
16.6	24.2
13.3	26.5
14.5	21.8
16.3	26.8
17.2	25.8
16.5	28.2
15	29.4
14.9	24.8
11.8	18.5
11.7	21.5
9.6	20.3
8.9	27.1
10.1	29.9
15.5	21.1
10.8	21.7
7.5	20.9
12.8	21
12.6	23.1
14.8	29.5
19.9	22
9.2	20.4
12.4	24.4
11.3	21.7
9.8	26.3
14.3	26.7
15.1	28.3
14.4	31.6
15.4	35
13.8	33.5
13.6	34.2
14.3	35
15.9	23.4
16.7	25.3
12.1	27.5
14.3	34.1
16.5	33.9
16.5	30.3
17.5	29.9
14.7	34.2
17.5	35.8
20.9	35.7
17	33.8
16	22.8
15.4	33.8
17.9	33.2
15.2	25.1
15.1	20.4
15.3	19.6
17.2	24.7
15.9	19.9
10	22.5
9.9	24.4
10.3	27.8
15.4	25.7
12.7	28.8
13.2	31.3
15.3	33.2
17.9	33.9
18	34.9
17.6	27.8
16	23.8
14.9	28.8
17.1	29.6
18.2	22.6
16.8	22.8
13.6	27.4
14.5	24.2
12.4	19.9
10.4	20.9
9.1	23.1
8.9	26
14.5	24.2
12.6	18.2
8.6	24.2
10.8	25.2
11.2	26.1
12.1	24.1
10.8	25.8
11.4	27.1
12	28.9
16.3	24.8
12.7	28.6
12.7	25.1
12	23.8
11.5	25.9
13	28.2
11.7	27.6
14.8	17.3
7.7	18.4
4.4	21.8
7.4	24.4
8.3	27.3
10.1	28.2
12	27.6
12.9	31.8
10.8	29.2
9.5	27.4
12.1	27.8
12.5	31.7
13.9	34.7
13.3	31.7
13.2	33.1
12.3	33.8
13.8	35.2
11.3	32.3
11.7	30.2
12.5	29.9
15.1	26.2
11.5	29.3
13	14.8
11.6	19.6
12.8	24.9
15.5	22.4
13.1	17.4
12.6	20.2
4.4	18.3
4.4	18.2
7.1	18.5
4.2	18.9
9.6	18.8
3.5	21.8
5.3	23.3
7	14.3
0.4	18.9
3.2	21.4
5.9	21.8
8.1	20.5
6.9	18.9
5.6	19.5
7.2	22.9
7.1	23.4
6.1	24.1
7.1	19.8
5.6	18
5.4	20.7
6.3	19.3
5.3	21
7.9	19.7
8.4	16.1
8.1	18.7
2.4	20.6
5.6	18.9
7.5	19
2.5	21.2
5	20.9
3.8	21.7
7.9	18.7
4.3	11.3
-2.1	13.8
-1.8	14.8
3.8	13.8
2.1	17.3
0.5	17.1
-0.9	16.7
0.4	19
7.5	16.8
8.3	17.6
-0.2	18.1
0.1	21
1.5	20.9
8.3	17.4
9.4	19.2
1.3	19
2.2	18.6
-0.4	17.9
4.5	16
7.9	12.3
4.3	14.1
-2.7	18.1
0.3	17
3.8	17.4
2.4	14.7
1.2	14.8
1.2	14.5
-0.3	17.5
4.7	18.5
4.9	18.1
1.4	16.8
2.2	17.5
-0.1	18
-0.9	18.5
0.6	14
4.6	15.7
9.8	14.4
10.6	15.1
7.8	15.1
4.4	16.7
-0.2	15.5
4.3	14.5
7.4	16.3
8.6	13.7
10.2	15
7.3	16.4
8.7	13
1	11.8
2.1	14.7
6.4	16.9
5.4	15.5
0.4	15.5
4	15.9
8.4	11.7
0.4	13.9
4.2	14
0.9	12.9
0.8	13
4.3	12.6
6.3	11.8
3.5	14.3
-1.5	14.8
1.2	16
0.5	15.4
5.3	11.7
6.6	13.1
-1.6	11.5
-3.1	12
-0.1	14.2
-0.6	14
3	11.1
2.9	9.5
-1.3	8.8
1.8	8.7
2.9	8.4
-2.6	11.1
0.5	11
2.7	16.5
-1.7	13.6
-0.9	12.8
-1.8	11.5
1.3	10.6
2.4	11.6
-1.1	11
2.3	11.6
-2.2	11.6
-3.5	11.2
-1	12.2
-2.1	12.9
-2	11.3
-2.3	9.7
-1.6	10.7
0.8	12.2
-2.8	12.2
-2.8	14.1
3	9.7
4.4	11.5
2.3	12.8
-2	12.3
-1.9	10.9
4.8	14.1
-0.6	11.1
3.1	12.5
-2.9	9.6
-3.5	7.6
-0.3	9.3
0.1	10.4
2.3	12.2
2.1	10.7
4.6	14.7
